Estado,TDPA_entidad
Aguascalientes,209637.9159564544
Baja California,145797.89786954084
Baja California Sur,105308.43312538326
CDMX,268172.6054383217
Campeche,59201.52843137255
Chiapas,220888.07643515905
Chihuahua,148628.6130116959
Coahuila,262050.7021816677
Colima,188163.35930880712
Durango,127863.46564032373
Guanajuato,513452.40765846585
Guerrero,195415.7967530755
Hidalgo,294746.92940379714
Jalisco,422021.6236576987
Michoacán,365320.1146888102
Morelos,321603.8271957575
México,1021830.8251398497
Nayarit,176773.59445676274
Nuevo León,371777.9902947053
Oaxaca,173571.1666876782
Puebla,388311.76505447185
Querétaro,316851.00579581235
Quintana Roo,159831.04752920035
San Luis Potosí,230127.22568548154
Sinaloa,172617.37056341753
Sonora,119521.68799337916
Tabasco,180651.51527860938
Tamaulipas,354219.26068542566
Tlaxcala,249889.28074888076
Veracruz,516448.58445514884
Yucatán,191793.82454212455
Zacatecas,208994.80819369745
